Date,Age Group,Race/Ethnicity,Population Size,1st Dose,1st Dose Percent,Vaccine Series Completed,Vaccine Series Completed Percent,Boosted,Boosted Percent,Bivalent,Bivalent Percent
2/27/21,30-49,Latinx,226340,28790,12.7,10625,4.7,0,0,0,0
2/27/21,65+,"Asian, non-Latinx",26955,8283,30.7,3014,11.2,0,0,0,0
2/27/21,18-29,"Other, non-Latinx",11506,1881,16.3,1158,10.1,0,0,0,0
2/27/21,18-29,Latinx,147161,13151,8.9,5685,3.9,0,0,0,0
2/27/21,65+,"Other, non-Latinx",3206,2776,86.6,1271,39.6,0,0,0,0
2/27/21,17-Dec,Latinx,76627,82,0.1,23,0,0,0,0,0
2/27/21,11-May,"Other, non-Latinx",6225,0,0,0,0,0,0,0,0
2/27/21,30-49,"Black, non-Latinx",197825,15129,7.6,7549,3.8,0,0,0,0
2/27/21,17-Dec,"Other, non-Latinx",3047,7,0.2,3,0.1,0,0,0,0
2/27/21,11-May,Latinx,83432,0,0,0,0,0,0,0,0
2/27/21,17-Dec,"Black, non-Latinx",57964,45,0.1,15,0,0,0,0,0
2/27/21,17-Dec,All,180859,277,0.2,96,0.1,0,0,0,0
2/27/21,11-May,"Asian, non-Latinx",10651,0,0,0,0,0,0,0,0
2/27/21,17-Dec,"Asian, non-Latinx",8804,39,0.4,15,0.2,0,0,0,0
2/27/21,17-Dec,"White, non-Latinx",35643,94,0.3,38,0.1,0,0,0,0
2/27/21,11-May,"Black, non-Latinx",66458,0,0,0,0,0,0,0,0
2/27/21,11-May,Unknown,,0,,0,,0,,0,
2/27/21,17-Dec,Unknown,,10,,2,,0,,0,
2/27/21,11-May,"White, non-Latinx",43777,0,0,0,0,0,0,0,0
2/27/21,11-May,All,210448,0,0,0,0,0,0,0,0
3/6/21,18-29,Latinx,147161,16111,10.9,7242,4.9,0,0,0,0
3/6/21,0-4,Latinx,54903,0,0,0,0,0,0,0,0
3/6/21,0-4,"Black, non-Latinx",47946,0,0,0,0,0,0,0,0
